sentence,relation
Studies on magnesium's mechanism of action in digitalis -induced arrhythmias . ,Cause_of_disease
The mechanism by which magnesium affects digitalis -induced arrhythmias was studied in dogs with and without beta-receptor blockade. ,Cause_of_disease
Magnesium's direct effect on calcium and potassium fluxes across the myocardial cell membrane may be the mechanism of its antiarrhythmic action in digitalis -toxic arrhythmias . ,Cause_of_disease
Inhibitory effect of green tea on the growth of established skin papillomas in mice. ,Treatment_of_disease
In 10 separate experiments mice with established chemically induced or UV light-induced skin papillomas were treated continuously with green tea in the drinking water or with i.p. injections of a green tea polyphenol fraction or (-)-epigallocatechin gallate three times a week for 4-10 weeks. ,Negative
In 10 separate experiments mice with established chemically induced or UV light-induced skin papillomas were treated continuously with green tea in the drinking water or with i.p. injections of a green tea polyphenol fraction or (-)-epigallocatechin gallate three times a week for 4-10 weeks. ,Negative
Examination of the data from all ten experiments revealed that complete tumor regression occurred in 14 of 346 papilloma-bearing mice (4%) that were treated with green tea in the drinking water or with i.p. injections of green tea constituents whereas none of the 220 papilloma-bearing control mice treated with only vehicle exhibited complete tumor regression. ,Treatment_of_disease
Examination of the data from all ten experiments revealed that complete tumor regression occurred in 14 of 346 papilloma-bearing mice (4%) that were treated with green tea in the drinking water or with i.p. injections of green tea constituents whereas none of the 220 papilloma-bearing control mice treated with only vehicle exhibited complete tumor regression. ,Negative
Examination of the data from all ten experiments revealed that complete tumor regression occurred in 14 of 346 papilloma-bearing mice (4%) that were treated with green tea in the drinking water or with i.p. injections of green tea constituents whereas none of the 220 papilloma-bearing control mice treated with only vehicle exhibited complete tumor regression. ,Treatment_of_disease
Examination of the data from all ten experiments revealed that complete tumor regression occurred in 14 of 346 papilloma-bearing mice (4%) that were treated with green tea in the drinking water or with i.p. injections of green tea constituents whereas none of the 220 papilloma-bearing control mice treated with only vehicle exhibited complete tumor regression. ,Negative
These observations indicate that oral administration of green tea  i.p. administration of a green tea polyphenol fraction or i.p. administration of (-)-epigallocatechin gallate inhibited the growth and/or caused the regression of established experimentally induced skin papillomas . ,Treatment_of_disease
These observations indicate that oral administration of green tea i.p. administration of a green tea polyphenol fraction or i.p. administration of (-)-epigallocatechin gallate inhibited the growth and/or caused the regression of established experimentally induced skin papillomas . ,Treatment_of_disease
The consumption of coffee is a self-reinforcing behavior and caffeine dependence and addiction are common. ,Cause_of_disease
Initial trials showing coffee 's association with coronary disease and myocardial infarction have been difficult to reproduce and have many confounding variables. ,Negative
Initial trials showing coffee 's association with coronary disease and myocardial infarction have been difficult to reproduce and have many confounding variables. ,Negative
At present there is no convincing evidence that caffeine or coffee consumption increases the risk for any solid tumor . ,Negative
Our data suggest that long-term exposure to hemp dust may cause the development of chronic respiratory symptoms and impairment of ventilatory capacity. ,Cause_of_disease
 Atrial tachyarrhythmias are a common manifestation of digitalis toxicity. ,Cause_of_disease
Halothane is known to oppose digitalis -induced ventricular arrhythmias . ,Cause_of_disease
Its effect on digitalis -caused atrial arrhythmias is unknown. ,Cause_of_disease
First increasing ouabain concentrations would enhance automaticity of SAP compared to the SA node and that such enhanced automaticity could explain digitalis -caused atrial tachyarrhythmias . ,Cause_of_disease
Second halothane would oppose such enhanced automaticity of SAP thereby opposing digitalis -caused atrial tachyarrhythmias . ,Cause_of_disease
Both cases proved to be cotton -material-induced granulomas . ,Cause_of_disease
 Coffee  caffeine and cardiovascular disease in men. ,Negative
BACKGROUND: For many years an association between coffee consumption and the risk of coronary heart disease has been suspected. ,Association
Although based on small numbers of end points a prospective study has suggested a particularly strong association between recent coffee drinking and the incidence of cardiovascular disease . ,Association
METHODS: We examined prospectively the relation of coffee consumption with the risk of myocardial infarction  need for coronary-artery bypass grafting or angioplasty and risk of stroke in a cohort of 45589 U.S. men who were 40 to 75 years old in 1986 and who had no history of cardiovascular disease. ,Negative
METHODS: We examined prospectively the relation of coffee consumption with the risk of myocardial infarction need for coronary-artery bypass grafting or angioplasty and risk of stroke in a cohort of 45589 U.S. men who were 40 to 75 years old in 1986 and who had no history of cardiovascular disease. ,Negative
METHODS: We examined prospectively the relation of coffee consumption with the risk of myocardial infarction need for coronary-artery bypass grafting or angioplasty and risk of stroke in a cohort of 45589 U.S. men who were 40 to 75 years old in 1986 and who had no history of cardiovascular disease . ,Negative
Total coffee consumption was not associated with an increased risk of coronary heart disease or stroke . ,Negative
Total coffee consumption was not associated with an increased risk of coronary heart diseas e or stroke. ,Negative
The age-adjusted relative risk for all cardiovascular disease among participants who drank four or more cups of coffee per day was 1.04 (95 percent confidence intervals 0.74 to 1.46). ,Negative
Increasing levels of consumption of caffeinated coffee were not associated with higher risks of cardiovascular disease . ,Negative
"Higher consumption of decaffeinated coffee  however was associated with a marginally significant increase in the risk of coronary heart disease (relative risk 1.63, 95 percent confidence interval 1.02 to 2.60). ",Cause_of_disease
CONCLUSIONS: These findings do not support the hypothesis that coffee or caffeine consumption increases the risk of coronary heart disease or stroke. ,Negative
CONCLUSIONS: These findings do not support the hypothesis that coffee or caffeine consumption increases the risk of coronary heart disease or stroke . ,Negative
A wide variety of tobacco habits prevalent in the country are primarily responsible for the occurrence of these cancers . ,Cause_of_disease
Among them bidi smoking tobacco chewing and cigarette smoking in that order account for a large majority of these cancers . ,Cause_of_disease
The government of India has accorded a high priority to prevention of tobacco -related cancers by the turn of the century in its National Cancer Control Programme. ,Cause_of_disease
Intragastric bile acid concentrations in healthy subjects and in patients with gastric and duodenal ulcer and the influence of fiber-enriched wheat bran in patients with gastric ulcer . ,Association
Intragastric bile acid concentrations in healthy subjects and in patients with gastric and duodenal ulcer and the influence of fiber-enriched wheat bran in patients with gastric ulcer. ,Negative
Intragastric bile acid concentrations in healthy subjects and in patients with gastric and duodenal ulcer and the influence of fiber-enriched wheat bran in patients with gastric ulcer. ,Negative
Fiber-enriched wheat bran reduced bile acid concentrations significantly in patients with gastric ulcer disease . ,Treatment_of_disease
Approximately 90% of Indian oral cancers are tobacco related the possibility of developing the lesion being ten times higher if the habit is formed below the age of 14 years. ,Cause_of_disease
"Public awareness about tobacco -related oral cancer is low at present and new approaches to this problem should include education in the schools on oral cancer formulation of legislative action to ban the sale of tobacco near schools and colleges and imposition of societal ""barriers"" that would make the nonchewing of tobacco socially more acceptable than chewing it. ",Cause_of_disease
"Public awareness about tobacco -related oral cancer is low at present and new approaches to this problem should include education in the schools on oral cancer  formulation of legislative action to ban the sale of tobacco near schools and colleges and imposition of societal ""barriers"" that would make the nonchewing of tobacco socially more acceptable than chewing it. ",Negative
"Public awareness about tobacco-related oral cancer is low at present and new approaches to this problem should include education in the schools on oral cancer formulation of legislative action to ban the sale of tobacco near schools and colleges and imposition of societal ""barriers"" that would make the nonchewing of tobacco socially more acceptable than chewing it. ",Negative
"Public awareness about tobacco-related oral cancer is low at present and new approaches to this problem should include education in the schools on oral cancer  formulation of legislative action to ban the sale of tobacco near schools and colleges and imposition of societal ""barriers"" that would make the nonchewing of tobacco socially more acceptable than chewing it. ",Negative
"Public awareness about tobacco-related oral cancer is low at present and new approaches to this problem should include education in the schools on oral cancer formulation of legislative action to ban the sale of tobacco near schools and colleges and imposition of societal ""barriers"" that would make the nonchewing of tobacco socially more acceptable than chewing it. ",Negative
"Public awareness about tobacco-related oral cancer is low at present and new approaches to this problem should include education in the schools on oral cancer  formulation of legislative action to ban the sale of tobacco near schools and colleges and imposition of societal ""barriers"" that would make the nonchewing of tobacco socially more acceptable than chewing it. ",Negative
The effects of vitamin C on the growth of human lung cultures and of vitamin C or L-cysteine on a human breast cancer culture (SK-Br-3) were assessed with and without exposure to fresh smoke from tobacco or marijuana cigarettes. ,Negative
The effects of vitamin C on the growth of human lung cultures and of vitamin C or L-cysteine on a human breast cancer culture (SK-Br-3) were assessed with and without exposure to fresh smoke from tobacco or marijuana cigarettes. ,Negative
Nonexposed or tobacco -smoke-exposed breast cancer cultures when grown in the presence of vitamin C also showed acceleration of growth of epithelial cells significant reduction in mitotic abnormalities and occurrence of pseudoglandular structures indicating differentiation. ,Negative
In contrast vitamin C did not reduce mitotic abnormalities in marijuana -smoke-exposed breast cancer cultures but stimulated abnormal growth and dedifferentiation. ,Negative
In nonexposed tobacco- or marijuana -smoke-exposed breast cancer cultures. ,Negative
In nonexposed tobacco - or marijuana-smoke-exposed breast cancer cultures. ,Negative
Efficacy of cancer prevention by high-selenium garlic is primarily dependent on the action of selenium. ,Treatment_of_disease
We reported previously that garlic cultivated with selenite fertilization showed powerful chemopreventive activity in the rat dimethylbenz[a]anthracene (DMBA)-induced mammary tumor model (Carcinogenesis 15 573-576 1994). ,Treatment_of_disease
In order to ascertain that the efficacy of the high-selenium garlic in cancer protection is primarily dependent on the action of selenium we compared the effects of two batches of garlic powder with marked differences in their level of selenium enrichment 112 or 1355 p.p.m. ,Treatment_of_disease
In order to ascertain that the efficacy of the high-selenium garlic in cancer protection is primarily dependent on the action of selenium we compared the effects of two batches of garlic powder with marked differences in their level of selenium enrichment 112 or 1355 p.p.m. ,Negative
Furthermore the magnitude tumor suppression as well as the extent of DMBA-DNA adduct inhibition were very similar with the two batches of garlic  even though the amounts of garlic in the diet varied considerably between them (1.8% for the 112 p.p.m. ,Treatment_of_disease
Furthermore the magnitude tumor suppression as well as the extent of DMBA-DNA adduct inhibition were very similar with the two batches of garlic even though the amounts of garlic in the diet varied considerably between them (1.8% for the 112 p.p.m. ,Treatment_of_disease
Thus based on the results of several biological responses it appears that the ability of the high-selenium garlic to protect against tumorigenesis is primarily dependent on increased intake of selenium provided by the vegetable. ,Treatment_of_disease
 Coffee consumption not associated with risk of pancreas cancer in Finland. ,Negative
BACKGROUND: Coffee consumption has been brought to focus as a possible risk factor for pancreas cancer . ,Cause_of_disease
"After having reviewed the available evidence an International Agency for Research on Cancer working group concluded in 1991 that the evidence in humans that coffee drinking is carcinogenic in the pancreas is ""inadequate"" since the available data were considered suggestive of a weak relationship with high levels of coffee consumption but the possibility that this was due to bias or confounding was judged tenable. ",Negative
"After having reviewed the available evidence an International Agency for Research on Cancer working group concluded in 1991 that the evidence in humans that coffee drinking is carcinogenic in the pancreas is ""inadequate"" since the available data were considered suggestive of a weak relationship with high levels of coffee consumption but the possibility that this was due to bias or confounding was judged tenable. ",Negative
METHODS: The association between coffee consumption and pancreas cancer risk was examined in a case-referent study in Finland. ,Negative
Data on coffee consumption 20 years prior to the diagnosis of cancer were obtained from the next of kin of 662 cases of pancreas cancer and 1770 referent (stomach colon and rectum) cancers. ,Negative
Data on coffee consumption 20 years prior to the diagnosis of cancer were obtained from the next of kin of 662 cases of pancreas cancer and 1770 referent (stomach colon and rectum) cancers. ,Negative
Data on coffee consumption 20 years prior to the diagnosis of cancer were obtained from the next of kin of 662 cases of pancreas cancer and 1770 referent (stomach colon and rectum) cancers . ,Negative
